날짜,지점,평균기온(℃),최저기온(℃),최고기온(℃)
2022-04-19,108,15.2,8.9,22.1
2022-04-20,108,15.7,9.7,22.1
2022-04-21,108,16.3,9.6,22.7
2022-04-22,108,15,13.2,16.8
2022-04-23,108,17.7,10.4,25.3
2022-04-24,108,18.5,15,24.5
2022-04-25,108,20,17,23.6
2022-04-26,108,21.9,17,28.7
2022-04-27,108,17.7,12.6,23.9
2022-04-28,108,18.2,11.6,25.9
2022-04-29,108,13.4,10.7,16.5
2022-04-30,108,13,10.5,17.8
2022-05-01,108,13.4,7.9,19.2
2022-05-02,108,14.2,9.1,19.4
2022-05-03,108,14.8,9.1,20.8
2022-05-04,108,17.8,10,25.2
2022-05-05,108,18.9,12.5,25.8
2022-05-06,108,19.6,13.7,25.6
2022-05-07,108,18.4,15.3,23.1
2022-05-08,108,15.3,11.7,18.2
2022-05-09,108,17.9,11,25.3
2022-05-10,108,19.9,13.6,26.3
2022-05-11,108,19.7,16.6,25.2
2022-05-12,108,20.9,14.1,28.1
2022-05-13,108,19.4,15,25.2
2022-05-14,108,15.7,11.9,20
2022-05-15,108,16.2,10.5,22.4
2022-05-16,108,17.3,10.9,23.7
2022-05-17,108,20,13,27.4
2022-05-18,108,20,15.7,25.4
